10856	4602,112,4084,5217,4513,4435,2746,1074,5215,2130,906,4648,4635,4519,4353,2204,1985,1298,785,2456,4244,3064
14571	4602,4635,4519,1985,4244
17304	5114,544,3878,5298,3064
15144	3661,1289,362,4026
5834	4638,2723,3043,527,1229,1097,2463,1514,2629,719,2862
6201	4638,2723,3043,1514,2862
3327	4638,2723,3043,1514,2862
4036	4638,2723,3043,1514,2862
10526	4638,2723,3043,1514,2862
6225	4638,2723,3043,527,1229,1097,2463,1514,2629,719,2862
16331	4638,2723,3043,1514,2862
8452	527,1229,1097,2463,2629,719
799	527,1229,1097,2463,2629,719
177	2097,4753,1062
14768	2561,5342,3917,4189
7022	2561,3416
8171	1038,1521,2561,3416,3064,1437
6976	4638,1038,2589,1521,2561,864,117,4236,284,3416,3064,1437
12789	4496,4318,2561,966,4324,1362,5342
12725	4496,4318,2561,966,4324,1362,5342
9402	4496,4318,2561,966,4324,1362,5342
11420	2561,5086,3416,3720
13547	2561,5086,3416,3720
14004	1251,2561,4131,548,1437
16056	2723,1251,4206,4328,2561,4131,4222,548,4147,1904,4282,1437
8703	4229,813,1002,4678,4384,2323,1414,3720,5342,957
7365	813,4384,1414,5342
2970	813,4384,1414,5342
12489	5114,1251,2315,3303,3768,3661,2128,4937,2008,1493,3268,3064,3314,5342,1904,5218
1846	3303,2128,1493,1904,5218
93	5114,1251,2315,3303,3768,2128,4937,2008,1493,5342,1904,5218
3429	2745,5189,499,4225
562	2745,5189,499,4225
8519	2669,3226,1529
10642	2669,3226,1529
16245	2990,1618,813,3203,2922,4049,4659,3811,629,3064
10078	2990,2723,813,2922,4049,4659,3113,629
13657	2723,4207,4023,3041,2270,3770,2561,117,2478,4347,1878,4648,287,1182,3702,135
14036	2270,2561,1878,1182,3702
11258	813,2270,2561,4049,1878,4384,1182,5342,3702
8860	2589,1725,5226
13680	536,3303,2561,3310,2523,748,4324,5342
3868	3303,813,1183,2561,1440,5342
4069	4638,2589,3303,813,1183,2561,864,117,4236,1440,284,5342
15139	3303,3661,3268,3064,3314
12213	1038,1521,2561,3064,1437
11249	1038,1521,2561,3064,1437
4952	1038,1521,2561,3064,1437
4040	1038,1521,2561,3064,1437
13090	1038,1521,2561,3064,1437
16855	2589
15837	2589,1737,346,3790,4172
13565	3303,4678,4635,28,3779,1065,5342
11656	3303,4678,4635,28,3779,1065,5342
10303	3303,4678,4635,28,3779,1065,5342
2045	3303,4678,4635,28,3779,1065,5342
12743	5189,2328,1931,2561,4519,5072,5342,2653
2584	4614,2561
3271	4614,2561
10749	4229,1002,4678,2323,3720,957
15138	5352,878,3057,5124,537
4771	5352,878,3057,5124,537
14247	3768,5342,1835
1633	3768,5342,1835
3503	2990,2723,3113,629
980	813,4049,4384,5342
16732	3151,4510,3949,3752,3358,2116,3113,284,725
16576	536,3303,2561,2523,748
12253	536,3303,2561,2523,748
11216	4476,4206,1915,4131,2856,4635,2698,349
11686	2451
2682	2561,605,5342
2142	2561,605,5342
14383	4206,2094,3575,3064
13444	2990,1618,3203,3811,629,3064
691	953,2589,969,1091
1722	2043,1416,729,4608
14934	2043,1416,729,4608
16183	2043,5317,1790,4482,1416,4813,3015,729,3945,4608,3064
11275	2043,1416,729,4608
10444	2043,1416,729,4608
7040	2043,1416,729,4608
9619	2043,1416,729,4608
5914	2043,1416,729,4608
6830	2043,1416,729,4608
9534	4878,1560,4352,28,1522,4684,4061
15956	2909,4638,1751,4924,3896,2166
715	2967,3219
10660	4548,2768,3665,3219,406,2666,2011,1494,2561,4813,4107,2613,3611,1198,1540,4957,2881,2316
278	4548,2768,1760,3219,5051,3568,2197,51,2666,3960,2011,1494,42,3244,2561,4107,2613,4635,3611,1198,1540,4053,2584,480,1835,2316
6149	5051,3568,3960,3244,4053,2584,480
11524	1875,4638,2745,3334,203,1074,5290,4676,3083,832,5260,1390,2189,12,117,4049,5048,1580,2698,4034,3806,2179,4644,3274,4005,3064,3975,1483,4218,4396,123
58	5157,2306,899,1074,935,2509,4938,2190,4678,4543,919,4917,5225,4396,5041
16770	2306,899,1074,935,2509,2190,4543,919,4917,5225,4396,5041
10383	164,805,3428,2163,2315,4171,3219,2799,2197,3029,4310,75,2606,4596,1721,1096,4682,2698,137,284,3139,3379,1883,1028,4053,2780,1857,3839,1290,3861,327,807
15810	2347
12311	3145,3073,1572,3792,1808,4813,4107,3811,1206
13072	190
5023	3760,2458,2519,3064,4396,2494
1494	1760,4741,42,1191,2613,3006
13416	2036,1252,4533,4222,4480
14647	2660,2167,223,2036,3631,1252,4533,4222,4480
11390	2036,1252,4533,4222,4480
16322	4168,3428,3499,2986,1050,4813,4630,3832,2757,4679,2698,575,3575,2389,5256,4350,2584,976,2238
5994	3641,1594,617,5346,1893
3972	2333,2904,3108,3665,2384,3219,469,4957
352	3665,3219,4957
13870	2491,4630,3537,1659,1740,4515
12070	1463,3254
10924	5092,1835
16944	5178,3258,2333,2904,445,3108,3388,2384,4845,2102,5112,3592,4851,140,1099,2856,3962,469,2265,4222,5104,3012,3139,3976,3926,1133,4397,2169,4684,3064,3115,4552,3391,4396
15959	4494,1074
5210	4494,1074
13328	4494,1074
6534	4494,1074
10023	4494,1074
4989	2333,3665,3930,832,2347,4957,2945,4775,3637
7730	1777,4460,219,4053,5261,5339,1071
3371	3452
13063	5234,3782
11620	870,4542,3064,1636
15572	4385,5261
14375	3827,1247,3968,2384,100,4522,1448
6539	5157,2322
15427	5112,2561,1119,2584,1794,1435
15197	75,3139,3416,715
15069	3528,4927,2561,3139,798
4666	1546,2343,223,3966,1261,111,1730,2986,2496,4484,3551,2347,3544,980,1084,2675,862,3242,987,39,481,152,3281,1013,5339
11517	2723,4938,2478,2716
8770	2723,4886,4938,4127,2478,3978,2716,1028,5302
1654	2723,4938,5291,3300,2478,2716,4034
8352	1790,3139,3109,3741,2160
16575	1790,1074,1893,3842,3139,3109,3741,2160
9212	1546,2414,3747,5005,862,2646
13860	1546,3747
14886	2247,1546,1760,3747,42,4234,2757,589,1883,2291,3575,4326
16847	1546,3747
16907	1546,3747
12513	1546,3747
4240	1546,3747
8349	1546,3747
16667	1751,2652,914,4901,2716,4343,2112,3416,5300,4128,2160
3070	3222,12
66	2566,2315,3788,4006,2609,548,5195,609,2993
1993	2566,2315,3788,4006,2609,548,5195,609,2993
